Affiliation,Gender,Year,Count
Catholic,Females,2024,408961
Catholic,Males,2024,411261
Catholic,Persons,2024,820222
Government,Females,2024,1259832
Government,Males,2024,1359681
Government,Persons,2024,2619513
Independent,Females,2024,351330
Independent,Males,2024,340941
Independent,Persons,2024,692271
Total,Females,2024,2020123
Total,Males,2024,2111883
Total,Persons,2024,4132006
Catholic,Females,2025,415020
Catholic,Males,2025,416572
Catholic,Persons,2025,831692
Government,Females,2025,1255849
Government,Males,2025,1357555
Government,Persons,2025,2613404
Independent,Females,2025,363846
Independent,Males,2025,351976
Independent,Persons,2025,715822
Total,Females,2025,2034715
Total,Males,2025,2126203
Total,Persons,2025,4160918
